Date,Open,High,Low,Close,Adj Close,Volume
8/1/2012,47.77,51.91,47.509998,50.650002,36.640732,46108600
9/1/2012,50.810001,52.150002,49.919998,51.66,37.69392,35204600
10/1/2012,51.490002,53.060001,51.27,52.32,38.175491,29081900
11/1/2012,52.720001,55.880001,52.16,55.459999,40.466606,51381200
12/1/2012,55.57,57.209999,54.529999,55.849998,41.075169,30155600
1/1/2013,56.330002,58.900002,56.040001,58.5,43.024139,27652900
2/1/2013,58.849998,60.790001,58,60.5,44.495041,37571600
3/1/2013,60.310001,64.75,60.049999,64.43,47.732578,29448600
4/1/2013,64.089996,66.839996,63.189999,65.040001,48.184502,33411100
5/1/2013,64.82,66.480003,62.049999,62.049999,45.969387,43585900
6/1/2013,61.970001,65.120003,61.029999,64.230003,47.915859,38140000
7/1/2013,64.029999,67.980003,64.029999,66.239998,49.415333,28267800
8/1/2013,65.940002,66.239998,60.279999,60.709999,45.289921,40678700
9/1/2013,61.240002,61.43,58.59,58.73,44.145294,36397700
10/1/2013,58.52,64.400002,58.009998,63.25,47.542831,39749500
11/1/2013,63.16,64.919998,60.59,60.639999,45.580978,44900300
12/1/2013,60.639999,62.310001,59.580002,61.07,46.248833,33262800
1/1/2014,60.98,61.360001,57.509998,57.98,43.908756,37575800
2/1/2014,58.009998,61.259998,55.689999,60.689999,45.961048,49117500
3/1/2014,60.34,62.75,60.099998,62.709999,47.490814,35566100
4/1/2014,62.470001,67.489998,62.310001,66.830002,50.997585,56827100
5/1/2014,66.940002,69,64.800003,68.980003,52.63826,41824500
6/1/2014,69,69.5,64.470001,65.699997,50.476658,35244300
7/1/2014,65.480003,66.730003,59.779999,59.830002,45.966805,39082900
8/1/2014,59.66,65.379997,59.650002,64.970001,49.915813,38387900
9/1/2014,64.93,65.379997,60.540001,61.599998,47.684605,34918200
10/1/2014,60.5,64.82,58.830002,63.959999,49.511467,45164800
11/1/2014,63.639999,66.639999,63.099998,66.25,51.284157,32586600
12/1/2014,65.849998,67.440002,63.669998,65.440002,51.04108,36362400
1/1/2015,65.629997,69.889999,64.139999,65.580002,51.15028,40134500
2/1/2015,65.650002,67.32,61.82,64.480003,50.29232,40396300
3/1/2015,64.370003,66.379997,61.529999,65.949997,51.438866,56869100
4/1/2015,65.690002,67,63.029999,63.330002,49.771957,35793100
5/1/2015,63.419998,65.639999,62.240002,62.77,49.331837,33647500
6/1/2015,62.599998,63.880001,61.130001,62.700001,49.661621,39015200
7/1/2015,62.700001,66.459999,61.990002,66.169998,52.410023,24912200
8/1/2015,65.93,69.849998,63.52,66.279999,52.497169,45150300
9/1/2015,65.309998,69.589996,65,66.550003,53.105198,39418700
10/1/2015,66.260002,72.339996,65.029999,70.519997,56.273159,37701700
11/1/2015,70.720001,70.860001,64.650002,68.769997,54.876705,46686500
12/1/2015,69.389999,73.68,68.199997,72.269997,58.089451,37214200
1/1/2016,71.589996,73.889999,68.730003,73.440002,59.029881,36346400
2/1/2016,73.32,76.239998,70.330002,74.019997,59.496094,52618700
3/1/2016,74.559998,77.050003,73.110001,76.550003,61.943108,38904900
4/1/2016,75.709999,78.099998,74.720001,76.809998,62.153496,33780100
5/1/2016,77,77.940002,73.699997,74.370003,60.179077,45997900
6/1/2016,74.400002,82.57,74.260002,81.650002,66.511406,52570900
7/1/2016,81.440002,87.160004,80.639999,82.709999,67.374886,65383600
8/1/2016,82.620003,84.279999,80.57,82.209999,66.967575,37473900
9/1/2016,81.879997,82.779999,76.900002,77.470001,63.503757,34141700
10/1/2016,77.209999,77.419998,73.660004,75.129997,61.585602,37093400
11/1/2016,75.620003,78.370003,71.830002,72,59.019875,35298600
12/1/2016,71.610001,74.489998,70.739998,73.709999,60.849846,35634400
1/1/2017,73.709999,73.730003,71.050003,72.709999,60.024284,32533900
2/1/2017,72.309998,76.690002,71.449997,74.07,61.147015,42027700
3/1/2017,74.07,75.309998,72.199997,72.610001,60.358967,54137200
4/1/2017,72.589996,73.379997,70.57,71,59.020607,38541400
5/1/2017,71.089996,73.43,68.669998,71.599998,59.519367,59490200
6/1/2017,71.889999,74.279999,68.559998,69.459999,58.156868,43896200
7/1/2017,69.580002,69.580002,65.32,68,56.934452,44290000
8/1/2017,67.959999,71.650002,65.160004,65.459999,54.807781,49412600
9/1/2017,65.470001,69.220001,62.110001,62.369999,52.649437,61350000
10/1/2017,62.220001,63.93,58.759998,62.529999,52.784492,81570200
11/1/2017,62.639999,67.739998,60.130001,66.160004,55.848759,78417800
12/1/2017,66.019997,68.709999,64.209999,67.980003,57.852776,61665600
1/1/2018,68.029999,69.209999,64.660004,68.110001,57.963402,63290200
2/1/2018,68,70.290001,62.959999,66.199997,56.337944,62870700
3/1/2018,66.809998,71.080002,62.950001,65.010002,55.325222,65455200
4/1/2018,64.970001,65.529999,58.709999,58.900002,50.533287,49621000
5/1/2018,58.810001,66.269997,56.400002,64.389999,55.243427,71748300
6/1/2018,64.5,70.300003,61.290001,69.870003,60.439728,62713800
7/1/2018,69.589996,72.260002,68.699997,71.029999,61.443161,39996500
8/1/2018,71.129997,74.32,66.790001,71.790001,62.100586,40055300
9/1/2018,71.809998,74.980003,69.5,70.019997,61.045933,29836400
10/1/2018,70.07,72.980003,64.949997,65.480003,57.087811,51958700
